,well_id,results,chemical,date,units,qualifer,rl,latitude,longitude,well_type,well_depth_ft,top_of_screen_ft,screen_length_ft,source,source_name,other_names
211709,NAM-07,0.04,ALBUTEROL,2005-04-25,UG/L,<,0.04,38.94027778,-121.37333333,MUNICIPAL,140.0,100.0,35.0,USGS,NAM-07,NAM-07
211797,MSMB-14,0.005,ALACL,2005-08-03,UG/L,<,0.005,36.57225,-121.77533333,MUNICIPAL,0.0,0.0,0.0,USGS,MSMB-14,MSMB-14
211810,MSMB-19,0.06,17DIMETHYLX,2005-08-16,UG/L,<,0.06,36.87652778,-121.74644444,MUNICIPAL,470.0,290.0,170.0,USGS,MSMB-19,MSMB-19
211815,SFU-05,0.005,ALACL,2007-04-25,UG/L,<,0.005,37.33402778,-122.00075,MUNICIPAL,604.0,302.0,205.0,USGS,SFU-05,SFU-05
211867,KING-21,0.04,ALBUTEROL,2005-10-27,UG/L,<,0.04,36.36197222,-119.83183333,MUNICIPAL,210.0,150.0,60.0,USGS,KING-21,KING-21
211881,KWH-17,0.04,ALBUTEROL,2005-12-13,UG/L,<,0.04,36.13611111,-119.51047222,MUNICIPAL,350.0,0.0,0.0,USGS,KWH-17,KWH-17
211934,NAM-09,0.06,ACETAMPHEN,2005-05-04,UG/L,<,0.06,38.87136111,-121.4875,MUNICIPAL,120.0,0.0,0.0,USGS,NAM-09,NAM-09
211947,CLABCB-05,0.04,ALBUTEROL,2006-08-21,UG/L,<,0.04,33.81027778,-118.15083333,MUNICIPAL,910.0,300.0,598.0,USGS,CLABCB-05,CLABCB-05
211955,SF-43,0.04,24D,2007-06-20,UG/L,<,0.04,37.78919444,-122.29752778,MUNICIPAL,353.0,262.0,38.0,USGS,SF-43,SF-43
212019,MOJO-10,0.006,ALACL,2008-02-07,UG/L,<,0.006,34.47388581,-117.37421345,MUNICIPAL,1010.0,600.0,-600.0,USGS,MOJO-10,MOJO-10
212054,SDALLV-10,0.06,17DIMETHYLX,2004-07-14,UG/L,<,0.06,33.24527778,-117.30333333,MUNICIPAL,135.0,65.0,65.0,USGS,SDALLV-10,SDALLV-10
212158,SDALLV-08,0.06,17DIMETHYLX,2004-07-14,UG/L,<,0.06,33.52277778,-117.55794444,MUNICIPAL,87.0,50.0,28.0,USGS,SDALLV-08,SDALLV-08
212178,SOSA-28,0.06,17DIMETHYLX,2006-06-20,UG/L,<,0.06,35.10863889,-118.32119444,MUNICIPAL,200.0,80.0,120.0,USGS,SOSA-28,SOSA-28
212192,SOSA-08,0.06,17DIMETHYLX,2006-06-07,UG/L,<,0.06,35.08847222,-118.63575,MUNICIPAL,700.0,300.0,400.0,USGS,SOSA-08,SOSA-08
212260,USAWC-09,0.04,ALBUTEROL,2007-01-31,UG/L,<,0.04,33.91308333,-117.59622222,MUNICIPAL,0.0,0.0,0.0,USGS,USAWC-09,USAWC-09
212290,COS-05,0.005,ALACL,2004-12-15,UG/L,<,0.005,38.17497222,-121.18547222,MUNICIPAL,256.0,0.0,0.0,USGS,COS-05,COS-05
212322,SDHDRK-13,0.04,ALBUTEROL,2004-07-29,UG/L,<,0.04,33.07425,-116.80355556,MUNICIPAL,46.0,41.0,-41.0,USGS,SDHDRK-13,SDHDRK-13
212372,MSMB-24,0.06,ACETAMPHEN,2005-08-09,UG/L,<,0.06,36.78127778,-121.70808333,MUNICIPAL,600.0,300.0,300.0,USGS,MSMB-24,MSMB-24
212401,SCRC-B29,0.02,24D,2008-07-15,UG/L,<,0.02,35.03802778,-120.47341667,MUNICIPAL,225.0,33.0,87.0,USGS,SCRC-B29,SCRC-B29
